county_name,county_code,disruption_rate,mean_WVI,pct_critical_WVI,pct_piped,pct_female_headed,efficiency,quality,continuity,tariff,providers,storage,pipes,pop_served,n_eff,n_qual,n_cont,n_prov,n_stor,n_pipe,n_pop,n_tariff,n_disrupt,WGS,WGS_tier,mean_pred_risk,pop_2019,pop_2026_est,citizens_disrupted_2026,citizens_critical_wvi_2026,primary_intervention,urgency_score,urgency_tier,equity_flag
Murang'a,21,0.0676056338028169,-0.1180958003511219,0.0,0.0,0.3183098591549296,0.8155615057489368,1.375,1.625,8.125,8,12950265,7119.0,49500,0.8141023322408875,0.3749999962500001,0.6249999937500001,0.6153846149112425,0.17391388368963415,0.7171350861280174,0.02710389168080252,0.6902174,0.762144971168444,0.533333571730482,Moderate,0.061756749605757194,1056640,1237263,76409,0,Sustain & Share Best Practice,0.1695757293261413,Low,False
Nairobi,47,0.2842304060434372,-0.15449797633623,0.0009442870632672333,0.021718602455146365,0.23890462700661,0.1731684110371075,1.6666666666666667,1.0,7.3333335,3,74463664,5194.0,37500,0.16662702020446735,0.6666666600000002,0.0,0.23076923059171597,0.9999999999999998,0.5232195023667541,0.020533251273335242,0.7246377,3.5182722957216583e-08,0.3702725985361404,Moderate,0.40250202258516926,4397073,5148713,2072367,4862,Governance Capacity Building,0.6098134370647963,Critical,False
Nakuru,32,0.03206997084548105,0.005086127964859128,0.008746355685131196,0.016034985422740525,0.3338192419825073,0.7758676613687966,1.25,1.3333333333333333,3.6666667,3,11571992,3542.0,5585,0.7740944546850343,0.24999999750000004,0.33333333,0.23076923059171597,0.155404547377631,0.3568046741207245,0.003058085556308729,0.884058,0.8871691098654974,0.43052126981712646,Moderate,0.056745133206453496,2162202,2531811,143668,22144,Sustain & Share Best Practice,0.27495053314537654,Moderate,False
Nandi,29,0.016666666666666666,0.012661462466170741,0.0,0.05714285714285714,0.2714285714285714,0.3853211009174312,1.5,2.0,14.0,2,1492947,387.0,5715,0.38045813110899585,0.4999999950000001,0.9999999900000002,0.15384615372781063,0.02004933574044919,0.03898458748862799,0.003129267494056291,0.43478262,0.9413621283088872,0.3858458014570575,Moderate,0.017733099044159196,885711,1037115,18391,0,Infrastructure Investment,0.24400316485161835,Moderate,False
Narok,33,0.014613778705636743,0.03780267307528481,0.0041753653444676405,0.0,0.3695198329853862,0.4444444444444444,1.0,2.0,5.0,1,455119,58.0,120,0.44004922200632524,0.0,0.9999999900000002,0.07692307686390532,0.006111960861877545,0.005842651354884816,6.570640407467278e-05,0.82608694,0.9485847471601934,0.3670738103369396,Moderate,0.013175670534904052,1157873,1355801,17864,5661,Infrastructure Investment,0.26105833340712165,Moderate,False
Nyamira,46,0.002277904328018223,0.3063039214817234,0.00683371298405467,0.00683371298405467,0.33940774487471526,0.9110512129380054,1.0,1.625,5.0,0,0,0.0,0,0.9103474950041074,0.0,0.6249999937500001,0.0,0.0,0.0,0.0,0.82608694,0.9919857122973422,0.3726022377147383,Moderate,0.005538520065022485,605576,709094,3927,4846,Governance Capacity Building,0.4475410609950929,High,False
Nyandarua,18,0.007853403141361256,-0.0031130718810828554,0.0,0.005235602094240838,0.3481675392670157,0.7044721069617336,1.5384615384615385,1.7692307692307692,4.8461537,13,3407499,2352.0,77900,0.702134062756377,0.5384615330769232,0.7692307615384616,0.9999999992307692,0.04576056047953804,0.23692958597739805,0.04265440731180841,0.83277595,0.9723695892554967,0.5711462722287329,Moderate,0.015398931453075837,638289,747399,11509,0,Sustain & Share Best Practice,0.2022149345052402,Low,False
Nyeri,19,0.055299539170506916,-0.1705198532869949,0.0,0.018433179723502304,0.38018433179723504,1.0,1.5,1.8333333333333333,6.6666665,6,11447155,4485.0,41300,0.9999999899208861,0.4999999950000001,0.833333325,0.46153846118343195,0.153728065274897,0.4517981263216965,0.022613954069033215,0.7536232,0.8054411630525291,0.5535640297071596,Moderate,0.046952435215337304,759164,888936,41738,0,Sustain & Share Best Practice,0.11302720329779399,Low,False
Samburu,25,0.006276150627615063,0.28499148676086195,0.07112970711297072,0.010460251046025104,0.34309623430962344,1.0,1.0,1.0,2.0,1,230,180.0,4500,0.9999999899208861,0.0,0.0,0.07692307686390532,3.088754805296714e-06,0.018132366273780464,0.002463990152800229,0.95652175,0.9779187930870287,0.3368847838388518,Moderate,0.008820599553218761,310327,363375,3205,25847,Governance Capacity Building,0.440235443048902,High,False
Siaya,41,0.017766497461928935,0.020626644141839515,0.0,0.005076142131979695,0.4365482233502538,0.5778461538461539,1.0,1.0,7.0,1,3000000,1683.0,5000,0.5745063233234093,0.0,0.0,0.07692307686390532,0.0402881061560441,0.16953762465984734,0.002737766836444699,0.73913044,0.9374926240856158,0.2822906621443757,Low Governance,0.01181424808126054,993183,1162959,13739,0,Governance Capacity Building,0.2598142047137682,Moderate,False
Taita-Taveta,6,0.019753086419753086,-0.010040684980003992,0.01728395061728395,0.0049382716049382715,0.2839506172839506,0.8802736602052451,1.0,2.0,21.0,1,3371399,1933.0,2500,0.8793264492870754,0.0,0.9999999900000002,0.07692307686390532,0.04527576026879364,0.19472146670676466,0.0013688834182223495,0.13043481,0.9305032631809034,0.36206152231565886,Moderate,0.016519584294700934,340670,398904,6590,6895,Governance Capacity Building,0.22916910747223754,Moderate,False
Tana River,4,0.015555555555555555,0.0980281628484956,0.0044444444444444444,0.011111111111111112,0.28,0.5284552845528455,1.0,2.0,2.0,1,650881,160.0,600,0.524724703983649,0.0,0.9999999900000002,0.07692307686390532,0.008740920940984047,0.016117658910027078,0.0003285320203733639,0.95652175,0.9452713197549614,0.39206977244115115,Moderate,0.02293964040804705,315943,369951,8487,1644,Infrastructure Investment,0.30889504918104677,Moderate,False
Tharaka-Nithi,13,0.0989010989010989,-0.08002740235065328,0.006593406593406593,0.006593406593406593,0.2879120879120879,0.1927497789566755,1.6666666666666667,2.0,10.0,3,6210781,1273.0,61200,0.18636330381055072,0.6666666600000002,0.9999999900000002,0.23076923059171597,0.08340686807998057,0.12823612370290294,0.03351026607808311,0.6086956,0.6520390031516385,0.39885411907485807,Moderate,0.13072129375296085,393177,460387,60182,3036,Governance Capacity Building,0.27645433036394274,Moderate,False
Trans Nzoia,26,0.013404825737265416,-0.0132152039517055,0.005361930294906166,0.0,0.257372654155496,0.9110512129380054,1.0,1.625,5.0,2,1693500,1199.0,5585,0.9103474950041074,0.0,0.6249999937500001,0.15384615372781063,0.022742635925086893,0.12078170645701543,0.003058085556308729,0.82608694,0.9528381729025903,0.4016334646337905,Moderate,0.015031453914823436,990341,1159631,17431,6218,Sustain & Share Best Practice,0.22041348713830652,Low,False
Turkana,23,0.01358695652173913,0.17816284099278967,0.03260869565217391,0.002717391304347826,0.47282608695652173,1.0,2.0,2.0,3.0,1,901274,256.0,100,0.9999999899208861,0.9999999900000002,0.9999999900000002,0.07692307686390532,0.01210354086256083,0.025788254256043325,5.475533672889398e-05,0.9130435,0.952197387208332,0.5533456092712641,Moderate,0.005111514098954768,926976,1085434,5548,35395,Sustain & Share Best Practice,0.3271148254733773,Moderate,True
Uasin Gishu,27,0.06666666666666667,-0.0892937780275856,0.0022988505747126436,0.004597701149425287,0.3103448275862069,0.99153194765204,1.0,1.0,14.0,1,6767088,2681.0,5000,0.9914649435739205,0.0,0.0,0.07692307686390532,0.09087771990376405,0.2700715221111412,0.002737766836444699,0.43478262,0.765448513235549,0.2924784629743794,Low Governance,0.0897912350176936,1163186,1362022,122298,3131,Tariff Reform,0.2544314268401596,Moderate,False
Vihiga,38,0.005,0.1809896734665022,0.0025,0.0,0.3425,0.9110512129380054,2.0,2.0,7.0,1,0,0.0,5000,0.9103474950041074,0.9999999900000002,0.9999999900000002,0.07692307686390532,0.0,0.0,0.002737766836444699,0.73913044,0.9824086384926661,0.523505266063471,Moderate,0.003527853712978389,590013,690870,2437,1727,Sustain & Share Best Practice,0.3320351935873213,Moderate,False
Wajir,8,0.004709576138147566,0.0434527774718366,0.0,0.13814756671899528,0.41601255886970173,1.0,2.0,1.0,1.0,1,368064,102.0,1000,0.9999999899208861,0.9999999900000002,0.0,0.07692307686390532,0.004942867168072738,0.010275007555142263,0.0005475533672889398,1.0,0.9834304287215065,0.4529021015107558,Moderate,0.009312190309349773,781263,914813,8519,0,Sustain & Share Best Practice,0.24823584355108422,Moderate,True
West Pokot,24,0.009671179883945842,0.15996804577696436,0.0038684719535783366,0.007736943907156673,0.2495164410058027,0.007849293563579277,1.0,2.0,3.0,1,75269,652.0,3200,0.0,0.0,0.9999999900000002,0.07692307686390532,0.0010108151540864278,0.06567946005836034,0.0017521707753246074,0.9130435,0.9659741556918108,0.336042574170712,Moderate,0.006986374481033148,621241,727437,5082,2814,Infrastructure Investment,0.3481005827320649,Moderate,False
